SEED,TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON,YEAR
15,UMBC,AE,32,24,110,107,0.566,51.9,50.8,13.6,17.7,31.8,33.6,33.5,28.4,49,49,38.4,36.1,66,-3,R64,2008
NA,Air Force,MWC,28,16,98.7,96.5,0.564,52.1,48.7,21.5,23,19.4,30.5,45.5,35.4,48.7,44.4,37.5,36.1,58.5,-6.2,NA,2008
NA,La Salle,A10,31,15,106,104,0.561,51.1,51.9,22.5,19.4,36,31.1,37.3,33.5,46.7,51.8,39.6,34.7,70.6,-8.2,NA,2008
NA,Richmond,A10,31,16,99.3,97.2,0.561,50.6,50.6,21.8,25.3,25.8,34,30.1,45.2,49.1,50.3,35.2,34.2,64.2,-5.5,NA,2008
NA,Brown,Ivy,29,19,106,103,0.56,55.8,51.2,20.5,20.2,24.3,30.3,47.1,25.9,52.1,49.9,40.8,35.5,63.1,-4.3,NA,2008
NA,Wichita St.,MVC,31,11,102,100,0.552,47.3,50.6,22.7,19,37.3,27,37.2,35.8,47.9,45.6,30.8,39,62.6,-10,NA,2008
NA,Green Bay,Horz,30,15,105,103,0.551,51.1,50.2,20.3,19.6,31.5,34.4,35.5,36.6,49.6,48.4,36.7,35.5,67.4,-6.5,NA,2008
NA,Oakland,Sum,29,16,109,107,0.55,49.2,53.9,19.4,21,41.3,35.2,41.4,34.8,47.2,52.3,36,38.1,69.3,-7.4,NA,2008
15,Belmont,ASun,33,25,105,103,0.548,53.2,51.9,20.4,22.4,33.5,30.5,33.8,35.6,52.1,51.9,36.3,34.6,71.2,-3.5,R64,2008
NA,Niagara,MAAC,29,19,104,103,0.548,47,48.7,18.2,21.3,36.9,36.6,44.7,35.7,46.5,48.7,31.8,32.4,71.2,-5.1,NA,2008
NA,Pacific,BW,30,21,105,103,0.544,56.1,50.3,22.6,20.1,32.2,27.8,44,36.8,53.8,48.5,40,35.5,65.6,-5.3,NA,2008
NA,Fordham,A10,28,12,101,100,0.539,48.7,50.9,20.2,20.7,31,34.1,36.1,34,48.9,50,32.2,35.5,63.6,-7.9,NA,2008
NA,Northeastern,CAA,31,14,100,99.4,0.537,46.7,49.5,20.7,22,34.8,33.1,36.4,34.1,46.6,49,31.3,33.8,63.6,-9.3,NA,2008
NA,Saint Louis,A10,30,16,98.9,97.6,0.536,48.9,48.6,20.4,18,23.8,28.2,36.2,31.3,46.5,45.6,35.9,36.4,60.8,-5.7,NA,2008
